rank,country
1,Rwanda
2,Burkina Faso
3,Central African Republic
4,Mali
5,Sierra Leone
6,Togo
7,Benin
8,Niger
9,Equatorial Guinea
10,Mozambique
11,Guinea
12,Democratic Republic of the Congo
13,Cameroon
14,Nigeria
15,Ghana
16,Malawi
17,Zambia
18,Uganda
19,Congo
20,Burundi
21,Liberia
22,Chad
23,Papua New Guinea
24,Solomon Islands
25,Gabon
26,Angola
27,South Sudan
28,Cote d'Ivoire
29,Tanzania
30,Madagascar
31,Zimbabwe
32,Kenya
33,Senegal
34,Guinea-Bissau
35,The Gambia
36,Mauritania
37,Sudan
38,Somalia
39,Namibia
40,Guyana
41,Yemen
42,Eritrea
43,Ethiopia
44,Afghanistan
45,Venezuela
46,Cambodia
47,Sao Tome and Principe
48,Vanuatu
49,India
50,Indonesia
51,Pakistan
52,Comoros
53,Laos
54,Haiti
55,Nicaragua
56,Peru
57,Myanmar
58,Colombia
59,Botswana
60,Brazil
61,Cape Verde
62,Bolivia
63,Swaziland
64,South Africa
65,Guatemala
66,Bangladesh
67,Panama
68,Honduras
69,Thailand
70,Philippines
71,Nepal
72,North Korea
73,Ecuador
74,Suriname
75,Vietnam
76,Dominican Republic
77,Timor-Leste
78,Belize
79,Bhutan
80,Djibouti
81,South Korea
82,Mexico
83,Saudi Arabia
84,Malaysia
85,Costa Rica
86,Iran
0,Algeria
0,Argentina
0,Armenia
0,Azerbaijan
0,China
0,Egypt
0,El Salvador
0,Georgia
0,Iraq
0,Kazakhstan
0,Kyrgyzstan
0,Morocco
0,Oman
0,Paraguay
0,Sri Lanka
0,Syria
0,Tajikistan
0,Turkey
0,Turkmenistan
0,Uzbekistan
